,date,offense,latitude,longitude
0,1/1/2021,Assault Offenses,Not Available,Not Available
1,1/1/2021,Larceny Offenses,Not Available,Not Available
2,1/1/2021,Assault Offenses,Not Available,Not Available
3,1/1/2021,Assault Offenses,Not Available,Not Available
4,1/1/2021,Assault Offenses,Not Available,Not Available
5,1/1/2021,Assault Offenses,Not Available,Not Available
6,1/1/2021,Assault Offenses,Not Available,Not Available
7,1/1/2021,Vandalism,Not Available,Not Available
8,1/2/2021,Assault Offenses,Not Available,Not Available
9,1/2/2021,Assault Offenses,Not Available,Not Available
10,1/2/2021,Homicide Offenses,Not Available,Not Available
11,1/3/2021,Kidnapping/Abduction,Not Available,Not Available
12,1/2/2021,Assault Offenses,Not Available,Not Available
13,1/3/2021,Assault Offenses,Not Available,Not Available
14,1/3/2021,Assault Offenses,Not Available,Not Available
15,1/3/2021,Assault Offenses,Not Available,Not Available
16,1/2/2021,Assault Offenses,Not Available,Not Available
17,1/3/2021,Assault Offenses,Not Available,Not Available
18,1/3/2021,Assault Offenses,Not Available,Not Available
19,1/3/2021,Assault Offenses,Not Available,Not Available
20,1/4/2021,Assault Offenses,Not Available,Not Available
21,1/3/2021,Assault Offenses,Not Available,Not Available
22,1/4/2021,Assault Offenses,Not Available,Not Available
23,1/3/2021,Assault Offenses,Not Available,Not Available
24,1/4/2021,Assault Offenses,Not Available,Not Available
25,1/4/2021,Sex Offenses,Not Available,Not Available
26,1/3/2021,Assault Offenses,Not Available,Not Available
27,1/3/2021,Assault Offenses,Not Available,Not Available
28,1/3/2021,Weapon Law Violations,Not Available,Not Available
29,1/4/2021,Assault Offenses,Not Available,Not Available
30,1/4/2021,Assault Offenses,Not Available,Not Available
31,1/4/2021,Assault Offenses,Not Available,Not Available
32,1/5/2021,Assault Offenses,Not Available,Not Available
33,1/5/2021,Assault Offenses,Not Available,Not Available
34,1/4/2021,Assault Offenses,Not Available,Not Available
35,1/6/2021,Assault Offenses,Not Available,Not Available
36,1/6/2021,Vandalism,Not Available,Not Available
37,1/6/2021,Assault Offenses,Not Available,Not Available
38,1/6/2021,Assault Offenses,Not Available,Not Available
39,1/6/2021,Assault Offenses,Not Available,Not Available
40,1/6/2021,Assault Offenses,Not Available,Not Available
41,1/6/2021,Assault Offenses,Not Available,Not Available
42,1/6/2021,Assault Offenses,Not Available,Not Available
43,1/6/2021,Assault Offenses,Not Available,Not Available
44,1/6/2021,Assault Offenses,Not Available,Not Available
45,1/6/2021,Drug/Narcotic Offenses,Not Available,Not Available
46,1/6/2021,Weapon Law Violations,Not Available,Not Available
47,1/7/2021,Assault Offenses,Not Available,Not Available
48,1/6/2021,Assault Offenses,Not Available,Not Available
49,1/6/2021,Sex Offenses,Not Available,Not Available
50,1/6/2021,Sex Offenses,Not Available,Not Available
51,1/7/2021,Assault Offenses,Not Available,Not Available
52,1/7/2021,Assault Offenses,Not Available,Not Available
53,1/7/2021,Assault Offenses,Not Available,Not Available
54,1/7/2021,Assault Offenses,Not Available,Not Available
55,1/7/2021,Assault Offenses,Not Available,Not Available
56,1/7/2021,Assault Offenses,Not Available,Not Available
57,1/8/2021,Assault Offenses,Not Available,Not Available
58,1/7/2021,Burglary,Not Available,Not Available
59,1/7/2021,Vandalism,Not Available,Not Available
60,1/8/2021,Assault Offenses,Not Available,Not Available
61,1/8/2021,Robbery,Not Available,Not Available
62,1/8/2021,Assault Offenses,Not Available,Not Available
63,1/9/2021,Assault Offenses,Not Available,Not Available
64,1/8/2021,Assault Offenses,Not Available,Not Available
65,1/9/2021,Assault Offenses,Not Available,Not Available
66,1/9/2021,Vandalism,Not Available,Not Available
67,1/9/2021,Assault Offenses,Not Available,Not Available
68,1/9/2021,Assault Offenses,Not Available,Not Available
69,1/9/2021,Assault Offenses,Not Available,Not Available
70,1/9/2021,Assault Offenses,Not Available,Not Available
71,1/9/2021,Burglary,Not Available,Not Available
72,1/9/2021,Assault Offenses,Not Available,Not Available
73,1/1/2021,Sex Offenses,Not Available,Not Available
74,1/10/2021,Assault Offenses,Not Available,Not Available
75,1/10/2021,Assault Offenses,Not Available,Not Available
76,1/10/2021,Assault Offenses,Not Available,Not Available
77,1/10/2021,Assault Offenses,Not Available,Not Available
78,1/10/2021,Vandalism,Not Available,Not Available
79,1/10/2021,Vandalism,Not Available,Not Available
80,1/10/2021,Assault Offenses,Not Available,Not Available
81,1/10/2021,Assault Offenses,Not Available,Not Available
82,1/6/2021,Assault Offenses,Not Available,Not Available
83,1/5/2021,Assault Offenses,Not Available,Not Available
84,1/6/2021,Assault Offenses,Not Available,Not Available
85,1/10/2021,Assault Offenses,Not Available,Not Available
86,1/9/2021,Kidnapping/Abduction,Not Available,Not Available
87,1/9/2021,Assault Offenses,Not Available,Not Available
88,1/10/2021,Assault Offenses,Not Available,Not Available
89,1/10/2021,Assault Offenses,Not Available,Not Available
90,1/10/2021,Sex Offenses,Not Available,Not Available
91,1/11/2021,Assault Offenses,Not Available,Not Available
92,1/10/2021,Assault Offenses,Not Available,Not Available
93,1/11/2021,Assault Offenses,Not Available,Not Available
94,1/11/2021,Assault Offenses,Not Available,Not Available
95,1/11/2021,Assault Offenses,Not Available,Not Available
96,1/11/2021,Assault Offenses,Not Available,Not Available
97,1/11/2021,Sex Offenses,Not Available,Not Available
98,1/7/2021,Assault Offenses,Not Available,Not Available
99,1/11/2021,Assault Offenses,Not Available,Not Available
100,1/11/2021,Assault Offenses,Not Available,Not Available
101,1/11/2021,Assault Offenses,Not Available,Not Available
102,1/8/2021,Assault Offenses,Not Available,Not Available
103,1/8/2021,Assault Offenses,Not Available,Not Available
104,1/5/2021,Assault Offenses,Not Available,Not Available
105,1/8/2021,Assault Offenses,Not Available,Not Available
106,1/12/2021,Assault Offenses,Not Available,Not Available
107,1/1/2021,Robbery,Not Available,Not Available
108,1/12/2021,Assault Offenses,Not Available,Not Available
109,1/5/2021,Sex Offenses,Not Available,Not Available
110,1/12/2021,Assault Offenses,Not Available,Not Available
111,1/12/2021,Vandalism,Not Available,Not Available
112,1/12/2021,Sex Offenses,Not Available,Not Available
113,1/12/2021,Assault Offenses,Not Available,Not Available
114,1/12/2021,Assault Offenses,Not Available,Not Available
115,1/12/2021,Assault Offenses,Not Available,Not Available
116,1/13/2021,Assault Offenses,Not Available,Not Available
117,1/12/2021,Homicide Offenses,Not Available,Not Available
118,1/13/2021,Assault Offenses,Not Available,Not Available
119,1/13/2021,Assault Offenses,Not Available,Not Available
120,1/13/2021,Kidnapping/Abduction,Not Available,Not Available
121,1/13/2021,Larceny Offenses,Not Available,Not Available
122,1/8/2021,Sex Offenses,Not Available,Not Available
123,1/8/2021,Pornography/Obscene Material,Not Available,Not Available
124,1/13/2021,Larceny Offenses,Not Available,Not Available
125,1/13/2021,Assault Offenses,Not Available,Not Available
126,1/14/2021,Assault Offenses,Not Available,Not Available
127,1/14/2021,Assault Offenses,Not Available,Not Available
128,1/14/2021,Assault Offenses,Not Available,Not Available
129,1/13/2021,Kidnapping/Abduction,Not Available,Not Available
130,1/3/2021,Sex Offenses,Not Available,Not Available
131,1/14/2021,Assault Offenses,Not Available,Not Available
132,1/1/2021,Sex Offenses,Not Available,Not Available
133,1/1/2021,Burglary,Not Available,Not Available
134,1/13/2021,Assault Offenses,Not Available,Not Available
135,1/14/2021,Assault Offenses,Not Available,Not Available
136,1/14/2021,Assault Offenses,Not Available,Not Available
137,1/14/2021,Assault Offenses,Not Available,Not Available
138,1/14/2021,Burglary,Not Available,Not Available
139,1/14/2021,Assault Offenses,Not Available,Not Available
140,1/14/2021,Assault Offenses,Not Available,Not Available
141,1/15/2021,Kidnapping/Abduction,Not Available,Not Available
142,1/15/2021,Sex Offenses,Not Available,Not Available
143,1/15/2021,Assault Offenses,Not Available,Not Available
144,1/15/2021,Assault Offenses,Not Available,Not Available
145,1/15/2021,Assault Offenses,Not Available,Not Available
146,1/15/2021,Assault Offenses,Not Available,Not Available
147,1/15/2021,Assault Offenses,Not Available,Not Available
148,1/1/2021,Sex Offenses,Not Available,Not Available
149,1/1/2021,Sex Offenses,Not Available,Not Available
150,1/13/2021,Assault Offenses,Not Available,Not Available
151,1/15/2021,Assault Offenses,Not Available,Not Available
152,1/15/2021,Assault Offenses,Not Available,Not Available
