,date,offense,latitude,longitude
0,2019-01-01T00:00:00.000,HARASS,"{'latitude': '32.663863439452406', 'longitude': '-97.39993378633163', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
1,2019-01-01T00:00:00.000,PENAL CODE,"{'latitude': '32.710011069199595', 'longitude': '-97.2625405405281', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
2,2019-01-01T00:00:00.000,BURGLARY COMMERCIAL,"{'latitude': '32.69986562752218', 'longitude': '-97.26155287432081', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7
3,2019-01-01T00:00:00.000,ASSAULT,"{'latitude': '32.821304972934016', 'longitude': '-97.09062369538388', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
4,2019-01-01T00:00:00.000,ASSAULT,"{'latitude': '32.821304972934016', 'longitude': '-97.09062369538388', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
5,2019-01-01T00:00:00.000,THEFT,"{'latitude': '32.76294190545357', 'longitude': '-97.34867054719642', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5
6,2019-01-01T00:00:00.000,THEFT,"{'latitude': '32.76294190545357', 'longitude': '-97.34867054719642', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5
7,2019-01-01T00:00:00.000,BURGLARY COMMERCIAL,"{'latitude': '32.67653657003695', 'longitude': '-97.32558518063412', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5
8,2019-01-01T00:00:00.000,HARASS,"{'latitude': '32.727416791575585', 'longitude': '-97.47809874652538', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
9,2019-01-01T00:00:00.000,THEFT,"{'latitude': '32.737900898380516', 'longitude': '-97.43394805142869', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
10,2019-01-01T00:00:00.000,BURGLARY COMMERCIAL,"{'latitude': '32.75852629026171', 'longitude': '-97.24780866846059', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19
11,2019-01-01T00:00:00.000,FRAUD,"{'latitude': '32.62445608051936', 'longitude': '-97.36895306614412', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
12,2019-01-01T00:00:00.000,HARASS,"{'latitude': '32.970436084439', 'longitude': '-97.26176334923785', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
13,2019-01-01T00:00:00.000,FRAUD,"{'latitude': '32.737901946451316', 'longitude': '-97.27699663115465', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
14,2019-01-01T00:00:00.000,PENAL CODE,"{'latitude': '32.73752471875798', 'longitude': '-97.41901856223359', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9
15,2019-01-01T00:00:00.000,HARASS,"{'latitude': '32.603393989227385', 'longitude': '-97.31397468633355', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
16,2019-01-01T00:00:00.000,AUTO THEFT,"{'latitude': '32.89487005135571', 'longitude': '-97.31154010163063', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
17,2019-01-01T00:00:00.000,HARASS,"{'latitude': '32.674162629886354', 'longitude': '-97.41855801316912', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
18,2019-01-01T00:01:00.000,HARASS,"{'latitude': '32.760603138198455', 'longitude': '-97.22609732855004', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
