ReportedDateTime,Location,ZIP,RoughX,RoughY,Arson,AssaultOffense,Burglary,CriminalDamage,Homicide,LockedVehicle,Robbery,SexOffense,Theft,VehicleTheft
2022-09-23 13:00:00,4301 W FOND DU LAC AV,53216,2542890.792656912003,401147.936911590397,0,1,0,0,0,0,0,0,0,0
2022-09-23 10:37:34,8948 N MICHELE ST #104,53224,2525419.955263928510,436672.458212587982,0,1,0,0,0,0,0,0,0,0
2022-09-23 09:28:00,1509 W CENTER ST,53206,2552618.447293865960,395995.178311962634,0,1,0,0,0,0,0,0,0,0
2022-09-23 03:27:00,7513 W SHERIDAN AV,53218,2532862.960029809270,413857.577327698469,0,1,0,0,0,0,0,0,0,0
2022-09-23 00:40:00,616 W CHAMBERS ST,53212,2555992.146411473863,398023.869440834969,0,1,0,0,0,0,0,0,0,0
2022-09-23 00:00:00,6231 W CARMEN AV,53218,2536833.053389721084,415770.424556229264,0,1,0,0,0,0,0,0,0,0
2022-09-22 23:30:00,8819 W APPLETON AV,53225,2527933.275733828545,410439.667931620032,0,1,0,0,0,0,0,0,0,0
2022-09-22 22:00:00,7315 N TEUTONIA AV,53209,2544924.057988725137,426127.656076680869,0,1,0,0,0,0,0,0,0,0
2022-09-22 21:29:38,5312 N 74TH ST,53218,2533072.587879322935,412660.573856111616,0,1,0,1,0,0,0,0,0,0
2022-09-22 21:15:00,822 W VLIET ST,53205,2555667.811662368476,389568.653042964637,0,1,0,0,0,0,0,0,0,0
2022-09-22 20:25:00,3732 N 10TH ST,53206,2554690.045035837684,402411.004226449877,0,1,0,0,0,0,0,0,0,0
2022-09-22 20:00:00,4865 N HOPKINS ST,53209,2544595.386431114748,409808.219926923513,0,1,0,0,0,0,0,0,0,0
2022-09-22 20:00:00,7848 W APPLETON AV,53218,2531322.304509157315,406537.467872701585,0,0,1,0,0,0,0,0,0,0
2022-09-22 19:05:00,5301 N 51ST BL,53218,2540340.341204396915,412528.646818116307,0,1,0,0,0,0,0,0,0,0
2022-09-22 18:00:00,4865 N HOPKINS ST,53209,2544595.386431114748,409808.219926923513,0,1,0,0,0,0,0,0,0,0
2022-09-22 17:48:00,4811 N TEUTONIA AV,53209,2548157.334612013772,409295.601607240736,0,1,0,0,0,0,0,0,0,0
2022-09-22 17:45:00,2144 N 42ND ST,53208,2543622.857162034139,392395.685128238052,0,1,0,0,0,0,0,0,0,0
2022-09-22 17:00:00,3920 N 13TH ST,53206,2553698.691409754567,403458.755334217101,0,1,0,0,0,0,0,0,0,0
2022-09-22 16:35:00,6515 W FLORIST AV,53218,2535794.604144425597,417092.610241234303,0,1,0,0,0,0,0,0,0,0
2022-09-22 15:35:37,"",53208,2548617.971581983846,386550.367796666920,0,0,0,0,0,0,0,1,0,0
2022-09-22 15:00:00,1931 N 24TH ST,53205,2549830.446655153763,391483.119767032564,0,1,0,0,0,0,0,0,0,0
2022-09-22 14:46:59,3610 W HAMPTON AV,53209,2545219.530516147148,409263.071105882525,0,1,0,0,0,0,0,0,0,0
2022-09-22 12:20:00,131 W KEEFE AV,53212,2557827.107887824997,401357.182272966951,0,1,0,0,0,0,0,0,0,0
2022-09-22 12:00:00,2976 N RICHARDS ST,53212,2559080.370547248516,398063.321868434548,0,1,0,1,0,0,0,0,0,0
2022-09-22 12:00:00,1721 W CANAL ST,53204,2552155.203803276177,382085.291903901845,0,0,0,0,0,0,0,0,0,1
2022-09-22 12:00:00,1721 W CANAL ST,53204,2552155.203803276177,382085.291903901845,0,0,0,0,0,1,0,0,0,0
2022-09-22 11:00:00,5740 N 72ND ST,53218,2533677.335513413884,415437.632109835744,0,1,0,0,0,0,0,0,0,0
2022-09-22 10:40:00,2808 N 57TH ST,53210,2538609.467703508679,396522.820029549301,0,1,0,0,0,0,0,0,0,0
2022-09-22 10:00:00,3310 W SILVER SPRING DR,53209,2546155.376259581186,414579.602374624461,0,1,0,0,0,0,0,0,0,0
2022-09-22 10:00:00,3817 N 35TH ST,53216,2545698.148324050475,402747.620822582394,0,0,0,0,0,0,0,0,0,1
2022-09-22 09:00:00,6626 N BOURBON ST,53224,2523464.636990781873,420755.315020699054,0,1,1,0,0,0,0,0,0,0
2022-09-22 09:00:00,10535 W DONNA DR,53224,2522099.629054719582,432981.334513798356,0,1,0,1,0,0,0,0,0,0
2022-09-22 08:15:00,3618 N 53RD ST,53216,2540006.325811860152,401765.020256999880,0,1,0,0,0,0,0,0,0,0
